Year,Month,Day,Concentration,DayOfWeek,Weekend
2009,7,8,41.391304347826086,3,0
2009,7,9,42.0,4,0
2009,7,10,43.08695652173913,5,0
2009,7,11,39.65217391304348,6,1
2009,7,12,42.375,0,1
2009,7,13,47.34782608695652,1,0
2009,7,14,45.0,2,0
2009,7,15,56.47826086956522,3,0
2009,7,16,60.291666666666664,4,0
2009,7,17,66.73913043478261,5,0
2009,7,18,55.0,6,1
2009,7,19,51.391304347826086,0,1
2009,7,20,52.0,1,0
2009,7,21,67.95652173913044,2,0
2009,7,22,66.41666666666667,3,0
2009,7,23,34.78260869565217,4,0
2009,7,24,45.375,5,0
2009,7,25,39.30434782608695,6,1
2009,7,26,42.125,0,1
2009,7,27,56.869565217391305,1,0
2009,7,28,52.583333333333336,2,0
2009,7,29,69.26086956521739,3,0
2009,7,30,56.791666666666664,4,0
2009,7,31,36.91304347826087,5,0
2009,8,1,68.04166666666667,6,1
2009,8,2,25.73913043478261,0,1
2009,8,3,35.333333333333336,1,0
2009,8,4,49.69565217391305,2,0
2009,8,5,68.58333333333333,3,0
2009,8,6,73.52173913043478,4,0
2009,8,7,87.875,5,0
2009,8,8,88.0,6,1
2009,8,9,68.0952380952381,0,1
2009,8,10,72.17391304347827,1,0
2009,8,11,37.791666666666664,2,0
2009,8,12,37.77272727272727,3,0
2009,8,13,31.625,4,0
2009,8,14,47.78260869565217,5,0
2009,8,15,67.125,6,1
2009,8,16,38.65217391304348,0,1
2009,8,17,41.666666666666664,1,0
2009,8,18,55.04347826086956,2,0
2009,8,19,74.91666666666667,3,0
2009,8,20,85.08695652173913,4,0
2009,8,21,44.25,5,0
2009,8,22,44.26086956521739,6,1
2009,8,23,61.375,0,1
2009,8,24,74.08695652173913,1,0
2009,8,25,32.0,2,0
2009,8,26,57.26086956521739,3,0
2009,8,27,50.43478260869565,4,0
2009,8,28,48.25,5,0
2009,8,29,45.52173913043478,6,1
2009,8,30,47.25,0,1
2009,8,31,66.65217391304348,1,0
2009,9,1,57.5,2,0
2009,9,2,34.30434782608695,3,0
2009,9,3,56.375,4,0
